input,label
@user And there's a k*ke and a rapefugee overseeing the entire process. If anyone touches the 'wrong' ballot they're immediately met with a loud OY VEY! ,1
Illegal Aliens Crossing Into America Isn't Immigration -- It's A Harmful Invasion Of Our Nation. Mass immigration is part of the #GlobalistAgenda to destabilize our country. #BuildTheWall #StopIllegalImmigration #NoDACA #NoAmnesty #MAGA ,1
@user @user Enjoy yaaa whore 😂😂😂😂  fcking whore hai oldie ARY ki.... Shes been fuckedd by everyone an anyone..   Ugly bitch ,1
"@user @user @user Gtfo off europe. Here is no place for you, you rapefugee. ",1
"The Hillary server/unmasking of U.S. citizens/FBI-CIA-DOJ conspiracy, perjury & obstruction - A SILENT COUP - to take down a U.S. President; by far the largest & deepest scandal to ever hit U.S. government.#MAGA #KAG #Trump #POTUS #NEWS #USA #WalkAway #DrainTheSwamp #NoDACA ",1
@user Bitch I'm sick 😒 dirty whore ,1
"Bitches be selling they body and acting boogie, bitch you a hoe I see right through you ",1
You a hoe if you crying because yo ass pregnant. It was all smiles while you was riding that dick bitch. ,1
@user Bitch you gay hoe ,1
it's time for me to BOSS UP on you bitch ass niggas & hoes😛 ,1
@user @user @user @user Bitch...cunt...same thing ,1
Face of Crime in America!!Made Worse by Reagan's 1986 Amnesty!!#DeportThemAll #BuildTheWall #MASA #MAGA #AmericaFirst #USA#ThursdayThoughts #FoxAndFriends #TrumpTrain #CCOT @user @user @user @user @user @user ,1
@user And what happened you line backer bitch ??? NO ONE TOUCHED ME FAT HOE GET GHOST ,1
You trick ass bitch! All these broke ass hoes going too ,1
"@user That's a good bitch, I will be coming to Toronto by end of the year so you can kiss my shoes! LOL ",1
"W h o t h e H e l l are these People ? #Burning If this is the effects of #Migrant #Migrants what about #IllegalImmigration Illegal Migrants ?? #India #Indians we cannot neglect , @user @user @user @user @user @user @user ",1
Freddie clenched her fists as the car got close enough to make out the protesters words.Humans first! Refugees go home! Mallory shouted into a megaphone.Heat burned through Freddies face. She slowed to a stop in front of the middle building.#Btr2sDay ,1
@user What is cruel is everyone of these American families was forcefully separated (torn apart) by death at the hands of Illegal Aliens who you protect. #DeportThemAll#BanSanctuaryCities#NoAsylum ,1
Get you some money you too old to be gossiping like a lil bitch for a broke hoe y'all niggas real life faggots ,1
"@user @user Also shut up about kids bitch, you don't need kids to live a fulfilling life, if anything they get in the way ",1
"I got all these hoes sayin ""you look like Jeff bridges!! "" bitch are you blind?! ",1
"Bitch I ain't got no hoes, why do you think I have to settle and hangout w you on my days off?!?! ",1
#SaveEurope! Stop the #IslamicInvasion to prevent #WhiteGenocide!#DeportThemALL!There is no virtue in self-imposed cultural and societal suicide!Vote out evil open-border globalist politicians!#UK #France #Sweden #Germany#Belgium #Spain #Italy #Denmark#Netherlands #Ireland ,1
Fuck you then bitch @user Cheap ass hoe ,1
Bitches Boyfriends/baby daddy/ husband be locked up for 10 minutes and already going out to be a hoe bitch you sad 😂 ,1
The U.S is $21 Trillion in Debt we cant Import the Poor and give them Welfare #Trump #MAGA #SendThemBack #Immigration #RedNationRising via @user ,1
Bitch where tf you been at hoe @user ,1
These bitches want you to bring something to the table... that other hoes are sittin at    Bitch.. i dnt do team meetings ,1
"#BuildThatWall If POTUS has executive power to fund and build the wall to keep illegals out, WE ALL Stand behind him to take that power and use it to his fullest potential to BUILD THE WALL already Sick of Illegals and the BS that goes with it from MSM Fake News ",1
Neva trust a bitch🤘 if she tell you she don't got hoes or nigga's her ass lying💯 ,1
I don't double tex bitch stop playing with me you saw the first tex hoe ! ,1
Send them back! #MuslimBan #DeportThemAll #WakeUpAmerica the Trojan horse has been delivered to your shores while you were sleeping. ,1
"Do you think Beyoncé is nice or a bitch — A little bit of both, depends on the time    Wonhoe w... ",1
"@user @user Illegal Aliens should all be deported along with their entire family NOT, I repeat NOT given free anything .. #NoHealthCare #NoHousing #NoFinancialSupport #NoDACA #NoAmnesty #SendThemBack #StopTheInvasion #BuildTheWallNow from the Pacific Ocean to the Gulf of Mexico #VoteRed ",1
The fight against the Great Replacement/Refugee Crisis has begun. Germans protested and fought counter protesters today. Spain sent back a bunch of migrants and Europe no longer wants refugees. Good job Europe! #FightBack #WhiteGenocide #RefugeesNotWelcome ,1
MS13 are animals! #ICEHeroes #MS13Animals #DeportIllegals #BuildTheWall #EndChainMigration #EndLotteryVisas #DrainTheSwamp #VoterID #SupportTheBlue #AmericansFirst #MAGA #LawAndOrder #VoteDemsOUT #VoteRed2018 ,1
Sickening! #BuildTheWall #DeportThemAll ,1
If you build it they will not come. #BuildTheWall #BuildThatWall #MAGA ,1
"Bitches think it's easy for a nigga to trust them.Bitch we seen way to much to trust you just cuz u say u ""not like the rest of these hoes"" ",1
Am I the only one who agrees with Montana??? Gabby is a snakey cunt karmas a bitch😘😘 #loveisland2017 ,1
Omar's ex is the biggest cunt ass bitch I have ever heard of if this annoying ass washed up art ho don't STFU actin like she somebody ~sigh~ ,1
"""Trudeau's """"refugees"""" bring mayhem to hotel migrant camps Brainless Trudeau + Migrants in Canada = Rapefugees just like England Germany n Sweden!! Specially against children n young teens!! via @user ",1
"#IllegalAliens are robbing #Americans of retirement who do you think pays for their healthcare and emergency room visits my #ObamaCare costs me $36,000 per year because of them @user @user @user @user @user @user #BuildThatWall ",1
"'Sanctuary City' Officials Released Illegal Alien Sex Offender, He Then Brutally Raped A 65-Year-Old Woman @user @user @user a day goes by where an Illegal Alien doesn't ruin a life!#BanSanctuaryCities#DeportThemAll ",1
"@user I dont want any effing refugees! Not in Greece, not in America, not anywhere in the West! #SendThemBack! ",1
"It is pretty simple equation. Once fake SSN is obtained, nothing stops illegals from voting ( or applying for welfare). Country-wide fraud. So sick of millions of criminals taking advantage of Americans in each and every way. #SendThemBack ",1
"@user Hoe burnt. To money hungry, you must want the bitch lol ",1
@user @user #IllegalAliens are not a race. Theyre a group of #criminals. #LiberalLogic ,1
"@user You heard the guy. Everyone go home and if some rapefugee stabs you, it's in the name of diversity. #WokeMerkel ",1
@user @user @user you lame bitch that's all you can say... smh you a fake ass hoe like nobody l… ,1
@user Bitch you look like this without make up STOP PLAYING WITH ME. This hoe be on my dick man. ,1
@user @user Amen. Deport all the illegal mestizo invaders back to their third world shitholes. The last thing I want for America is to end up like Argentina. #DeportThemAll #BuildTheWallNow #NoIllegals #KAG #Trump2020 ,1
Run a train ona a bitch is rape in others eyes ,1
Bitches think just bc you ain't with the drama you ain't with the shits😃 bitch I'll smack you & whoever & still keep it cute😘 ,1
bitch I'm gonna slap those hoes commenting about other members when YOU SHOULD BE GRATEFUL THAT NAMJOON IS THERE ,1
It's time to build the wall now. These are the people we caught over the last few years! How many are we not catching? @user @user @user #BuildThatWall ,1
"I hate a bitch that think she know me, friend or not bitch you only know what I tell you. Speak on what tf you know hoe🖕 ",1
"Another fine example of why illegal aliens are problem. If your here illegally, why would you want to draw attention to yourself this way. Illegal aliens have no fear of our legal system & only care about themselves. Awful way to die #BuildThatWall ",1
DACA Illegal Thanks The U.S ! Threatens ICE online and post 21 pages of how to make Weapons ! End #DACA #SendThemHome #SundayMorning #RedNationRising #Trump #MAGA #Immigration via @user Michael Lynch ,1
@user She called me a bitch and doesn't even know me wtf you expect? I ain't gonna play nice I don't even know the hoe 😂 ,1
Fuck being mad at a wack ass bitch! You know how these hoes be.... ,1
#DeportIllegalAliens Sanctuary Cities Government Aid (Taxpayer $$$) for Illegals No excuses#BuildThatWall #BuildThatDamnWall ,1
OMM ILL BEAT A BITCH FUCK YOU PLAY ME FOR HOE ,1
@user Lol you dumb bitch kill your self you probably got a train ran on you by gamers ugly whore ,1
"@user Indeed, in the UK the security services put plants in patriotic/anti jihad/anti rapefugee protests. The plants give Nazi salutes in front of press photographers, voil, that protest movement is finished ",1
"@user @user @user He's an illegal, regardless. #SendThemBack ",1
Build The Wall. Its cheaper than maintaining a lifestyle that nearly 30% of Americans are living on. These are not guests. The are a mass of illegal citizens of another country invading ours. #BuildThatWall ,1
"bitch please stop calling me candy mouth , fucking whore ",1
We don't want them in AU and NZ either. #sendThemBack ,1
"Aren't u one of the low life scum who defends people bringing fentanyl into this country from Mexico?Sorry, but I won't apologize for being MORE concerned abt the 70,000 ppl dying from drug overdoses than people sneaking into the country illegally#BuildTheWall #BuildThatWall ",1
@user @user Their #Skill is #Looting & #Raping! These #Migrant #Marauders want to turn #Spain into a #ThirdWorld #STINKHOLE like they've done to their own #Countries! Like a #Cancer they need to be expeditiously removed! #NoMoreREFUGEES ,1
@user You came in my mentions first but okay hoe goodnight ily bitch and I know this picture of this dog just m… ,1
Yeah Bc this bitch boutta get raped and murdered so no shit she ain't ever comin back ,1
@user A freaking bus ticket to Tijuana is the only thing we should be buying for illegals. #SendThemBack ,1
One thing about me idc what comes out of my mouth or who my words hurt. If you take offense you're just a bitty bitch or hoe ass feminist 💀 ,1
S/O to all you lurking hoes and bitch ass niggas 😇🖕 ,1
Bitch idc when Ima see you hoe!!! ,1
"@user Got to keep those baby rapers with their victims or the left will throw a temper tantrum. #boohoo,#sendthemback#BuildTheWall ",1
We must Remove the Tens of Millions of Invasive Parasites!!We must End this Long Going Nightmare!!#DeportThemAll #FoxNews #MAGA #AmericaFirst@realDonaldTrump @user @user @user @user @user @user @user ,1
"Magnolia - Lil Wayne remix   ""And I. Fuck. These. Hoes. If. I. Don't. Dose. Off. On. That drank. If I. Do. Bitch you to blame, Coochie lame"" ",1
"@user @user @user SAY they do NOT want foreign interference in our elections; YET, they are CONTENT with allowing #IllegalAliens to cross our borders; have US taxpayers support them while here; AND, allow THEM to VOTE in our elections. How is THAT not direct foreign interference? @user ",1
i would beat the fuck outta yo strong back ass bitch! fuck you hoe. @user ,1
Ugly bitches N FUCK THAT WHORE FUFU YAI ,1
"All that pillow talkin nigga that's what the hoes do , YOU A BITCH ",1
@user You know this hoe saving mofo didn't ever go in on that fragile bitch scared to break her cupcake ass 🙄🙄#GH ,1
Bitch they done free'd the OJ 😂😂😂 you hoe mad lol ,1
@user nah bitch don't follow me we not cool hoe I'm bashing your mf face in. Shit ain't sweet. ,1
@user Yea yea bitch see you at 6 . Ain't shit around my mouth y'all hoes love making shit up . & PRETTIER THAN YOU !!!! ,1
"""Amusing as hell how France and Germany insist how wonderful these """"refugees"""" are, but demand that Hungary and Poland take them by the tens of thousands. If they were such a boon for Europe why would they ever want to give them away? #Hypocrisy #RefugeesNotWelcome #YouHaveToGoBack"" ",1
@user @user bitch come crawling to me when hoseok leaves you for his crab side hoe ,1
Kim can burn in hell with my fat bitch sister. 😊 yesssssssssssssssssssssss    And my ex whore theif murderer ,1
This is always the case with them. NO assimilation; they want to rule and change nations. #WakeUpAmerica #BuildThatWall ,1
#IllegalImmigrants #OpenBorders oh yes we can see its all about the little helpless children. These poor babies are all on a boat by themselves. Well now you got to let their parents in too -- so they too can help destroy the local peoples life's. #InSane ,1
I know dis bitch thats letting her hubby rape their daughter😒 the world fucked up ,1
This is third world shit happening in AMERICA! What the hell is happening! They r trying to take over our country! Minnesotas leadership sure let them down by accepting all those refugees! Disgusting! #AnimalSacrificeInAmerica #MAGA #NoRefugees #SendThemBack ,1
@user #BuildThatWall send her back hommeeeee! Hahaha ,1
"@user @user @user @user This waste of Money must be stopped!!!  #NoMoreRefugees   Keep telling us how SS is going Broke, while you toss $ out the window!! Stop p—-ing. on our backs & telling us it’s Raining! ",1
Bitch our streak is dying @user ,1
U.S.Sheriffs Fed Up as 25 Americans are Killed Each Day by Illegal Aliens @user @user #KeepAmericansSafe #DeportThemAll ,1
I hate you hoes know who Journee daddy is cause y'all think fuckin w/him gone make me mad bitch kys ,1
@user Their warm days are already gone and voters know the RAPEfugee crisis is there to stay. Theyve got far bigger problems than weather. Deteriorating social welfare system and sky high crime rate. #Sweden ,1
@user Looks like he doesnt keep his front door open.. but they expect everyone else to.#BuildThatWall #SaturdayVibes ,1
"Nigga really said ""I catch ya Bitch and I rape her"". ",1
@user We all know what you mean by 'scum' pal. Couldn't agree more. #SendThemBack ,1
Why do HOES tweet about other hoes? 👎 bitch you're ran through ,1
Don't say no slick shit then swear you ain't mean it like that cause bitch na I'm finna hoe you 😂 ,1
If they find this pos bring him back only if he gets the death penalty. We don't need this human garbage sitting in our jails. #ItEndsNow #BuildThatWall ,1
A hoe got one time to fuck me over and it's fuck you forever lil bitch 🖕 ,1
"""@ceraldi_carleen I am sure he lied about it on his application. They need to deport him like they're doing to all naturalized citizens who """"lied"""" on the apps. #sendthemback"" ",1
@user Damn bitch.. you raised a spoiled whore! ,1
So now you friends with JAVEN bitch fuck you hoe ! ... — OMG BITCH😂😂😂😂 ,1
"You are a whore anyways, so don't complain bitch ",1
@user Ask this old whore to suicide or I can help this bitch die screaming. #BBUK You guyz r shit to bring her back. ,1
Katie can you remove URSELF from the group text 😂😂 no bitch you do it I don't even read that bullshit anyways 😂😂😂 #FOHHOE ,1
"You hoes weak, on Facebook but be in the same bitch likes that u be hating on. ",1
Here's some #elite #globalist #Jews plotting to take-over #Poland.You can't make this stuff up. #EU #Europe #Zionism #Judaism #AntiWhite #globalism #leftism #OpenBorders #IllegalImmigration #CulturalSubversion #nationalism #Jewish #NWO ,1
@user @user @user Make sure this ILLEGAL ALIEN spends the rest of his life behind bars and make sure his remains are deport at the end of his miserable life.#BuildThatWall ,1
#PresidentTrump sends more Support to help #ICE Agents 'GET THE #ILLEGALS OUT'To report #IllegalAliens CALL #ICE 1-866-347-2423 ,1
"This is a couple who just moved on in to Australia and thought if we behave ourselves and involve ourselves in the Community, and have a child here then we will be allowed to stay.Sorry - if that got you in we would be swamped with MILLIONS just like you.#SendThemBack. ",1
@user And when we shut them down and all that taxpayer money needs to go to #BuildThatWall ! ,1
"""Islamic migrant urges Germans, Austrians to give rapefugees """"Their Homes and Money"""""" ",1
"They cant even grant us a small Hebridean island to be away from all the poisons of modernity, they are now importing their rapefugee armies to every corner of this island, this is about destroying us, nothing less. ",1
"Study: 1 million sex crimes by illegals If you think these numbers are atrocious, they are 12 years old!What are the horrifying numbers today?#BuildTheWall #NoAmnesty #EnforceUSLaws#DeportThemAll Stop subjecting our children to this depravity! ",1
Bloody foreign hornets coming over here killing our bees. #brexitmeansbrexit #sendthemhome #controlourborders ,1
@user Just throw them back into Mexico.No more taxpayer-supported dependents.Jobs for citizens not invading criminals and their children.#NoAmnesty#NoDACADeport ALL illegals.Arrest ALL sanctuary officials.Fire ALL pro-amnesty politicians.#BuildTheWall ,1
Just like every other social justice cunt: bitch doesn't know anything about the economy. ,1
"She like dick, dick & nothing else but dick. Cunt as bitch. ",1
"CBS: Driver an Illegal Alien was drunk, high at time of fatal Donna crash that killed 6 year old girl. Yet another victim whose life was stolen by an illegal alien.When will you end this?#BuildTheWall #NoAmnesty #NoDACA #DeportThemAll ",1
And a whore got locked up doing you know what.. And I'm thinking like yo niggaz trained this bitch in high school.. 💯💯💯 ,1
"White Americans, you may report #UndocumentedImmigrants (#IllegalAliens) invading the United States. Heres how:Call:1 (866) 347-2423orGo online: andLearn more: ",1
"Illegal Alien Raped Girlfriend's Daughter In North Carolina via @user is an everyday occurrence in North Carolina, Why?#BuildTheWall #EnforceUSLaws#NoAmnesty #EndSanctuaryCities #KeepAmericansSafe#DeportThemAll ",1
"Let this hoe touch this kid I swear to fucking god I will murder you bitch, FACTS ",1
Dicksucking a bitch that don't even like you 😂😂😂! I hate fat lame hoes bro seriously ,1
"@user Oh she tried you , tell that bitch you wear jeans hoe 😼 ",1
@user You're not females you're hoes why do you think god tried to kill this bitch 2 years ago? You're noth… ,1
You hoes really be doing too much. Like bitch nobody wants your lying cheating ass boyfriend. Relax ,1
#DEMS are using #Muslims & #BlackLivesMatter (aka militant #NationOFislam extremist) & #NFL as insurgents in their #Communist REVOLUTION: FACT=HALF of USA Total Muslim Population immigrated under #OBAMA=#NoDACA NO #DACA #Amnesty No #DacaDEAL #BoycottNFL ,1
@user #LockHimUp and #Deport him#DeportThemAll #BuildTheWall ,1
These animals should be removed from our country immediately! #NODACA #BUILDTHEWALL!!! ,1
@user likes to call me a cunt & a bitch but I tell him the truth about himself and he can't handle it ,1
@user Coming from the bitch who loves grapefruits 😷👐 ,1
@user #BuildThatWall Its an Invasion America ,1
Attempted Mass Poisoning: Illegal Alien Poured Drain Killer Into Food At Florida Restaurant via @user are they so lenient?This is terrorism!#BuildTheWall #EnforceUSLaws#KeepAmericansSafe #DeportThemAll ,1
"She fucking on me, she selling you dreams, that bitch is a hoe🗣🗣 ",1
Bitches kill me with that bitch wanna be me hoe you don't wanna be yourself🙄😒 ,1
That Old bitch and young bitch @user look like dudes! Yall Some tranny lookin ass hoes ,1
@user @user @user Stop the invasion of 3rd world immigrants. Support Europeans to have more children. Preserve our culture and history. Stop Islam! #stop_islamization #StopInvasion ##complicediSalvini #REFUGEESNOTWELCOME ,1
"""@CalebJohnson50 @user @user It may have to do with plain honest speech. So many politicians have the """"political speech"""" bug. Theyre accustomed to stating what people want to hear & not what they need to . Like saying it is #Fucktarded to believe the mass #Refugee/#Rapefugee immigration was good is idiodic"" ",1
"anti-immigrant. Anti- murdering, raping, thieving and lazy opportunistic 3rd world primitive migrant who has no right to be in the Western world.#SendThemBack ",1
Lets get this important information out there. Migrant crime statistics the EU wants to keep secret. Link to free book. #migrants #Immigration #StopIslam #stopimmigration #stopmigrants #SaveEurope #ForBritain ,1
"I will never trust a hoe I to went outta respect, that still double crossed me...     Bitch you alreay lost !! ",1
Got my young bitch kickin flavor she gone flex on you hoes ,1
don't say it in a curious cat bitch whoever tf you are ,1
@user 😂 ok hoe I let you have your lil laughs where the horse mouth bitch at ? ,1
@user Hey @user #IllegalAliens are criminals. An #IllegalAlien is a criminal. All #Illegal #Aliens must be deported! ,1
excuse my lingo when I call you hoe but bitch you know I talk like dat ,1
rah don't turn up at my door acting like a cunt😂 u drove to me bitch ,1
"Record $135 billion a year for illegal immigration, average $8,075 each, $25,000 in NY is Enough!The killings, Rapes, Child Molestations, Drunk Driving, ID theft.And citizens are forced to pay them!#DeportThemAll #BuildTheWall #NoAmnesty ",1
"@user @user @user Correct/incorrect - doesnt really matter, the point is that it should not be allowed. The number of immigrants coming to England and taking all they can is ridiculous. No wonder they fight tirelessly to get through all the other countries into England. #stopimmigration ",1
@user Tow the boat back to the safe ports in Africa. #sendthemback it's not late to save Europe #notwantednotneeded ,1
"Of course the Toronto attack is a cover up! God forbid the public know what chaos, terror & destruction CULT Muslims are ACTUALLY bringing into our countries by the thousands!Papers say poor Muslim immigrants!I say poor citizens that built these countries!#SendThemBack ",1
This is her 6th kid with a man (husband or boyfriend?) wanted for murder. Another kid paid for by American taxpayers. Thank you ICE please detain more of these criminals #sendthemback @user @user @user ,1
"@user Per the @user and @user Hierarchy of Controls, bollards are expensive and ineffective. Whats always *best* is elimination: physically remove the hazard. #StopImmigration#Repatriation ",1
@user @user Since it's Hispanic night at the ballpark. Did they just open up the gates and let anybody and everybody in or did they have to have a ticket? #BuildThatWall #Trump2020 @user #ChopOn @user ,1
@user @user @user Deport them all! #BuildThatWall ,1
#rascist #IllegalImmigrants #Illegals #WalkAway #WalkAwayFromDemonrats -- look at what Europe is dealing with. Do we want this in America?! #MAGA #WalkAway #MakeAmericaGreatAgain #BuildTheWallNow @user @user @user @user @user ,1
Fuck you to whoever mirror I just punched off bitch don't cut me off on a good day? ,1
This Bitch Need To Go Back To Eating Whoever Dick She Eating Hitting Me Up Tryna Be Friends @user Your Friend Is Wildin Lmaoooo ,1
on bd yo nigga a hoe — on me you a bitch  ,1
"@user #Deport illegal aliens NOW! Dreamers are criminals who use fake IDs (identity fraud, a FELONY) to STEAL jobs from American CITIZENS. Others commit heinous crimes like murder. #DeportThemAll @user ",1
don't be late with my motherfuvking glo bottle hoe . you better have that bitch ready for me at the mf door bitchh ,1
Re: Illegal Immigration and Crime The DACA age group is the most prevalent age for crime.@realDonaldTrump @user @user #NoAmnesty#DeportThemAllThe chance isn't worth the potential outcome!There have been to many lives destroyed. ,1
"NEVER FORGET-it only took 19 radical hijackers to murder 3,000 & injure 6,000 others. We must make sure the people coming into our country don't want to murder us.9/11#NeverForget #September11#Wall#VoterID#EndChainMigration#AntiNWO#DeepState ",1
"@user @user Illegal Invasion is Forced-Upon #American Taxpayers.#IllegalAliens are Stealing Resources from Citizens.THEY are in the wrong for coming here Illegally.The Prosperity of Americans is Not the issue, nor are Americans stingy for not wanting to be Invaded & Robbed.#IngrahamAngle ",1
got the same cum dumpster whore i always get at post office. gave me a hard time. bitch. ,1
Too many immigrants unlicensed to kill #IllegalAliens #IllegalImmigration#Transportation #BuildThatWall @user @user ,1
"I hate for females who hang with me but out here fucking my ""Property"" like bitch wtf you doing on my land! Hoe! ",1
@user Bitch i said bye hoe and you aint do shit so hoe stop playing with me ,1
I hate sneaky hoes like bitch gtf back in your lane before I put you there. ,1
We let these #migrants in to our country for a better life but what's about our lives and our children's future. That do not want to live by our laws. These #Muslims do not respect our way of life. #SENDTHEMBACK ,1
bay bitch  always on the move witch  dick to dick  don't know who to pick  you think you're going up  i'll keep it on the low  you're just a hoe ,1
DEPORT Deport Deport. That is all you have to say. #IllegalAliens have got to go. ,1
"Everyone wanna be carefree, a hoe, spiritual, allladat summer 17' like it's new 🙄🙄 bitch, find yourself and stop following the hashtags ",1
She called me a thot bitch you's a lil hoe too ,1
99% Of Illegal Alien AnchorBabies Birth is Paid by Medicaid 73% of Illegal Household on Welfare Ripping off US Taxpayers #Trump #MAGA #WalkAway #SendThemBack #Immigration via @user ,1
"Sure, #AbolishICE and grant amnesty to all of these mestizo invaders, and watch them breed like rats, turning America into a third world country. There is a big crystal ball for America, and it's called Argentina. #SupportICE #BuildTheWall #DeportThemAll ",1
"bitches be expecting you to stay around while they hoe , bitch u crazy ",1
@user Stfu hoe ass bitch no you don't. ,1
"Media Blackout: 13-Year-Old Girl Was Decapitated By Pair Of Illegal Aliens In Alabama refuses to report the atrocities committed by Illegal Aliens, why?It would be Front Page news across country if committed by a citizen.#DeportThemAll ",1
"bitch if you were a cookie, you'd be whoreo 🙄🙄🙄 ",1
"i don't care what a bitch think or how a hoe feel, cause ain't nann one of you hoes paying my bills 😛 ",1
